"Repository","Title","Call No.","Language(s)","Date","CompuDate","Place","Keywords","Front Cover","OPenn Record","Data","Page Turning","Penn in Hand Record","Summary","Collation View","Online","Month Photographed"
"Free Library of Philadelphia","De consolatione philosophiae; De mirabilis mundi; Grammatical treatise ?; Unidentified theological treatise; Miscellany","Lewis E 2","Latin","1473; 15th century","1400-1499","Germany","15th century;Germany;Philosophy;Gloss;Paper;Gothic;Grammar;Fragment;Theology","http://openn.library.upenn.edu/Data/0023/lewis_e_002/data/web/4323_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_002.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_002.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_002/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_002/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_002/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_002/index.html#page/1/mode/2up</a>,"","This is a fifteenth-century German manuscript containing Pseudo-Albertus Magnus, De mirabilis mundi with exposition and gloss (ff. 3r-62v) and Boethis, De consolatione philisophiae with exposition and gloss (ff. 63r-238v). The front flyleaf (numbered 1) is a parchment leaf containing text from an unidentified grammatical treatise, while the back flyleaf (numbered 239) is a parchment leaf containing text from an unidentified theological treatise.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Canon super almanach; De 12 signis et eorum naturis in generali","Lewis E 3","Latin; English","Part I dated 1340; Part II dated to 15th century (de Ricci) or 16th century (Wolf), script suggests 15th century","1340-1599","England","Astrology;Tables;Science;14th century;15th century;Gothic;Diagrams;Damage;Paper;Gloss;England;English","http://openn.library.upenn.edu/Data/0023/lewis_e_003/data/web/4226_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_003.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_003.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_003/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_003/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_003/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_003/index.html#page/1/mode/2up</a>,"","This manuscript consists of a series of astronomical tables and a secondary text concerning astrology and planetary movements.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","De casu diaboli (On the Fall of the Devil)","Lewis E 5","Latin","Second half of the 12th century","1150-1199","Reims, France","Treatise;12th century;France;French;Theology;Philosophy","http://openn.library.upenn.edu/Data/0023/lewis_e_005/data/web/4229_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_005.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_005.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_005/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_005/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_005/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_005/index.html#page/1/mode/2up</a>,"","This manuscript is a twelfth-century copy of a treatise by Saint Anselm of Canterbury (1033-1109), produced in Reims. A medieval scribe entitled this copy De casu primi angeli (On the Fall of the First Angel). The treatise is also known as De casu diaboli (The Fall of the Devil). Using Lucifer's fall from heaven as a point of departure, Anselm discusses the concept of free will in the treatise.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_005/lewis_e_005.html">http://138.197.87.173/bibliophilly/collation/lewis_e_005/lewis_e_005.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Antiphonary, Dominican use","Lewis E 6","Latin","14th century","1300-1399","Reims?, France Italy","Antiphonary;14th century;French;France;Liturgy;Illumination","http://openn.library.upenn.edu/Data/0023/lewis_e_006/data/web/6004_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_006.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_006.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_006/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_006/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_006/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_006/index.html#page/1/mode/2up</a>,"","This manuscript is a fourteenth-century French Antiphonary, for Dominican use, in two parts. The first part is the Antiphonary, and the second part is Antiphons for a weekly cycle of feasts dedicated to the Virgin.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Processional","Lewis E 7","Latin","Liturgical Use of the Dominican house at Poissy; between 1505 and 1515","1505-1515","Paris, France","16th century;French;France;Christian;Illumination;Illustration;Miniature;Processional;Musical notation;Liturgy","http://openn.library.upenn.edu/Data/0023/lewis_e_007/data/web/5998_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_007.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_007.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_007/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_007/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_007/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_007/index.html#page/1/mode/2up</a>,"","This manuscript is an early-sixteenth-century French processional made for the Dominican house of Poissy, north-west of Paris. It contains nine small square miniatures enclosed by gold frames.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_007/lewis_e_007.html">http://138.197.87.173/bibliophilly/collation/lewis_e_007/lewis_e_007.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Fragments from a Gradual","Lewis E 8","Latin","Circa 1475","1475","Dijon, Burgundy, France","15th century;France;French;Liturgy;Christian;Inhabited;Illustration;Gradual;Fragment","http://openn.library.upenn.edu/Data/0023/lewis_e_008/data/web/4311_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_008.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_008.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_008/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_008/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_008/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_008/index.html#page/1/mode/2up</a>,"","This manuscript is a fragment of a fifteenth-century French Gradual.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_008/lewis_e_008.html">http://138.197.87.173/bibliophilly/collation/lewis_e_008/lewis_e_008.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Processional; Astronomical Text binding fragment","Lewis E 9","Latin","Late 15th century; 13th century; 10th century","1450-1499","Germany","Processional;Astrology;Science;15th century;13th century;10th century;Gothic;Inhabited initial;Liturgy","http://openn.library.upenn.edu/Data/0023/lewis_e_009/data/web/4225_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_009.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_009.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_009/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_009/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_009/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_009/index.html#page/1/mode/2up</a>,"","This manuscript is a late fifteenth-century processional with a binding fragment of an earlier astrological treatise pasted to the back board.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_009/lewis_e_009.html">http://138.197.87.173/bibliophilly/collation/lewis_e_009/lewis_e_009.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Antiphonary","Lewis E 11","Latin; Italian","1496","1496","Florence?, Italy","15th century;Italian;Italy;Antiphonary;Christian;Musical notation;Inhabited initial","http://openn.library.upenn.edu/Data/0023/lewis_e_011/data/web/4882_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_011.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_011.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_011/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_011/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_011/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_011/index.html#page/1/mode/2up</a>,"","This small format antiphonal of forty-nine folios includes only the antiphons for the Feast of the Purification of the Virgin, Palm Sunday, and the Burial Service. It was written for use by friars officiating for the nuns of an unidentified convent dedicated to Saint Paul, as stated by the contemporary instructions for use written in Italian on the final folio.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_011/lewis_e_011.html">http://138.197.87.173/bibliophilly/collation/lewis_e_011/lewis_e_011.html</a>,"Online? Yes",""
"Free Library of Philadelphia","De censuris ecclesiasticis; Three papal bulls","Lewis E 14","Latin","Circa 1465; no later than 1471 on account of ownership inscription","1464-1471","Italy","Treatise;15th century;Christian;Italian;Italy;Theology","http://openn.library.upenn.edu/Data/0023/lewis_e_014/data/web/4312_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_014.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_014.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_014/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_014/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_014/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_014/index.html#page/1/mode/2up</a>,"","This volume contains the De censuris ecclesiasticis, a theological treatise relating to ecclesiastical censures by Antoninus of Florence (1389-1459), Dominican Friar and Archbishop of Florence, as well as three Papal Bulls: Bulla Cum in omnibus iudiciis (May 11, 1464, Paul II); Constitutiones (November 17, 1461, Pius II); and Bulla Cum detestabile scelus (November 23, 1464, Paul II). These Papal Bulls often accompany the De censuris; the second printed edition of 1476 contains these three, plus one later bull.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_014/lewis_e_014.html">http://138.197.87.173/bibliophilly/collation/lewis_e_014/lewis_e_014.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Secreta secretorum (Secrets of Secrets)","Lewis E 16","German, Middle High (ca.1050-1500)","Circa 1465","1465","Germany","15th century;Paper;German;Germany;Philosophy;Gothic;Treatise","http://openn.library.upenn.edu/Data/0023/lewis_e_016/data/web/4981_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_016.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_016.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_016/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_016/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_016/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_016/index.html#page/1/mode/2up</a>,"","This is a fifteenth-century manuscript on paper, which contains a German translation of Pseudo Aristotle, Secreta Secretorum.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_016/lewis_e_016.html">http://138.197.87.173/bibliophilly/collation/lewis_e_016/lewis_e_016.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Armorial","Lewis E 17","German","16th century","1500-1599","Austro-Bavaria","Armorial;16th century;German;Germany;Heraldry;Woodcuts;Paper;Legal;History;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_017/data/web/4317_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_017.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_017.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_017/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_017/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_017/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_017/index.html#page/1/mode/2up</a>,"","This manuscript contains an armorial of sixteenth-century Austro-Bavarian nobility.",Collation View: <a href=""/>,"Online? Yes",""
